Linux 6.5.0-45-generic (gauss) 	26. 02. 2025 	_x86_64_	(32 CPU)

11:48:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:46        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46      nvme0n1      0,60      0,00    175,20      0,00    292,00      0,00      5,33      0,32
11:48:46          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:46       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:48:46          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:51        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51      nvme0n1      0,60      0,00    176,00      0,00    293,33      0,00      5,33      0,24
11:48:51          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:51       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:48:51          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:48:56        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56      nvme0n1    133,00      0,00    824,80      0,00      6,20      0,02      0,18      0,40
11:48:56          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:48:56       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
